title,release_date,platforms,genres
Fable II,2008-07-08,Xbox One,"action role-playing game, fantasy video game, video game with LGBT character"
Fable III,2010-08-02,"Microsoft Windows, Xbox One","action role-playing game, fantasy video game, video game with LGBT character"
Fable: The Journey,2012-10-09,Xbox One,action role-playing game
FaceBreaker,2008-09-04,"PlayStation 3, Wii, Xbox One",boxing video game
Faces of War,2006-09-08,Microsoft Windows,"real-time strategy, real-time tactics"
Fade to Black,1995-08-31,"DOS, PlayStation 2, PlayStation Portable","action-adventure game, cyberpunk video game, science fiction video game"
Fahrenheit,2005-09-16,"Microsoft Windows, PlayStation 4, iOS, macOS","action-adventure game, interactive film, psychological horror fiction, video game with LGBT character"
Fahrenheit 451,1984-01-01,"Classic Mac OS, Commodore 64, DOS, MSX, ZX Spectrum","adventure video game, science fiction video game"
Fairytale Fights,2009-10-23,"PlayStation 3, Xbox One","action game, fighting game, hack and slash"
Falcon Patrol II,1984-01-01,"Commodore 64, ZX Spectrum",shoot 'em up
Falcon: The Renegade Lord,1987-01-01,"Commodore 64, ZX Spectrum",action game
Fallout Tactics: Brotherhood of Steel,2001-03-15,Microsoft Windows,"post-apocalyptic video game, real-time tactics, tactical role-playing game"
Fallout: Brotherhood of Steel,2004-01-14,PlayStation 4,"action role-playing game, role-playing video game"
Fallout: New Vegas,2010-10-19,"Microsoft Windows, PlayStation 3, Xbox One","action role-playing game, post-apocalyptic video game, role-playing video game, video game with LGBT character"
Famicom Wars,1988-08-12,"Nintendo 3DS, Nintendo Entertainment System, Wii, Wii U",turn-based tactics
Family Guy: Back to the Multiverse,2012-11-20,"Microsoft Windows, PlayStation 3, Xbox One",action-adventure game
Fantastic Dizzy,1991-04-01,"Commodore 64, DOS, Nintendo Entertainment System, PlayStation",adventure video game
Fantastic Soccer,1990-01-01,Commodore 64,sports video game
Fantasy Earth: Zero,2006-02-23,Microsoft Windows,massively multiplayer online role-playing game
Fantasy Tennis,2007-06-25,Microsoft Windows,massively multiplayer online game
Fantasy Wars,2007-10-02,Microsoft Windows,turn-based tactics
Fantasy World Dizzy,1989-10-01,"Amstrad CPC, Atari ST, Commodore 64, DOS, ZX Spectrum","action-adventure game, platformer"
Far Cry,2004-03-23,"Microsoft Windows, PlayStation 3, Xbox One","first-person shooter, science fiction video game"
Far Cry 2,2008-10-21,"Microsoft Windows, PlayStation 3, Xbox One",first-person shooter
Far Cry 3,2012-11-29,"Microsoft Windows, PlayStation 3, Xbox One","action-adventure game, first-person shooter"
Far East of Eden: Kabuki Klash,,Neo Geo,fighting game
FarmVille,2009-10-11,"iOS, web browser","role-playing video game, simulation video game"
Farmerama,2009-10-09,Microsoft Windows,"role-playing video game, simulation video game"
Faselei!,1999-01-01,Neo Geo Pocket,turn-based strategy video game
Fast Food,1987-12-01,"Amstrad CPC, DOS, ZX Spectrum",maze video game
Fatal Fury 2,1992-12-12,"PlayStation, Super Nintendo Entertainment System",fighting game
Fatal Fury 3: Road to the Final Victory,1995-03-27,"Microsoft Windows, Neo Geo, arcade video game",fighting game
Fatal Fury Special,1993-09-16,"Neo Geo, PlayStation, PlayStation Portable, Super Nintendo Entertainment System, TurboGrafx-16, arcade video game, iOS",fighting game
Fatal Fury: King of Fighters,1991-11-25,"Neo Geo, PlayStation, PlayStation Portable, Super Nintendo Entertainment System, arcade video game",fighting game
Fatal Fury: Wild Ambition,1999-01-28,"PlayStation 2, PlayStation Portable, arcade video game",fighting game
Fatal Racing,1996-01-31,DOS,"racing video game, vehicular combat game"
Fate,2005-05-18,"Microsoft Windows, macOS",action role-playing game
Fate/Extra,2010-07-22,PlayStation Portable,"role-playing video game, visual novel"
Fate/stay night,2004-01-01,"Microsoft Windows, PlayStation 4, PlayStation Vita, iOS","Chuunige, dark fantasy video game, eroge, psychological thriller video game, urban fantasy video game, visual novel"
Fate/unlimited codes,2008-06-11,"PlayStation 4, PlayStation Portable, arcade video game","fantasy anime and manga, fighting game"
Fate: Gates of Dawn,1991-01-01,Atari ST,role-playing video game
Fate: Undiscovered Realms,2008-07-17,Microsoft Windows,"action role-playing game, roguelike, role-playing video game"
Fatman: The Caped Consumer,1993-01-01,Microsoft Windows,action game
Faxanadu,1987-11-16,Nintendo Entertainment System,action role-playing game
Fear Effect,2000-02-24,"Microsoft Windows, PlayStation 2","LGBT-themed video game, action-adventure game, cyberpunk video game"
Fear Effect 2: Retro Helix,2001-02-21,"Microsoft Windows, PlayStation 2","LGBT-themed video game, action-adventure game, cyberpunk video game, video game with LGBT character, yuri game"
Feeding Frenzy,2004-02-11,"Microsoft Windows, PlayStation 3, Xbox One, macOS",action game
Feet of Fury,2003-06-07,Unknown,music video game
Fever Pitch Soccer,1995-01-01,"PlayStation, Super Nintendo Entertainment System",association football video game
Fiendish Freddy's Big Top O'Fun,1990-01-01,"Amstrad CPC, Atari ST, Commodore 64, DOS, IBM Personal Computer, ZX Spectrum",action game
Fight for Life,1996-01-15,Atari Jaguar,fighting game
Fighting Force,1997-10-31,"Microsoft Windows, Nintendo 64, PlayStation 2",beat 'em up
Fighting Masters,1991-12-06,PlayStation,fighting game
Fin Fin on Teo the Magic Planet,1996-01-01,Microsoft Windows,digital pet
Final Approach,2004-01-01,PlayStation 4,visual novel
Final Fantasy,1987-12-18,"MSX, Nintendo Entertainment System, PlayStation 2, PlayStation Portable, Wii, Windows Phone, iOS",role-playing video game
Final Fantasy Anthology,1999-10-05,PlayStation 2,role-playing video game
Final Fantasy Crystal Chronicles,2003-08-08,"Nintendo GameCube, iOS",role-playing video game
Final Fantasy Crystal Chronicles: Ring of Fates,2007-08-23,Nintendo DS,action-adventure game
Final Fantasy Dimensions,2010-09-06,iOS,role-playing video game
Final Fantasy Fables: Chocobo Tales,2006-12-14,Nintendo DS,action-adventure game
Final Fantasy II,1988-12-17,"Nintendo Entertainment System, PlayStation 2, PlayStation Portable, iOS",role-playing video game
Final Fantasy III,1990-04-27,"Microsoft Windows, Nintendo Entertainment System, Virtual Console",role-playing video game
Final Fantasy IV,1991-11-01,"Microsoft Windows, Nintendo DS, PlayStation 2, PlayStation Portable, Super Nintendo Entertainment System, iOS","role-playing video game, turn-based Japanese role-playing game"
Final Fantasy Legend II,1990-12-14,"Game Boy, Nintendo DS",role-playing video game
Final Fantasy Legend III,1991-12-13,"Game Boy, Nintendo DS",role-playing video game
Final Fantasy Mystic Quest,1992-10-05,"Super Nintendo Entertainment System, Virtual Console, Wii U",role-playing video game
Final Fantasy Tactics Advance,2003-02-14,Unknown,tactical role-playing game
Final Fantasy Tactics: The War of the Lions,2007-05-10,iOS,tactical role-playing game
Final Fantasy Type-0,2011-10-27,"Microsoft Windows, PlayStation Portable",action role-playing game
Final Fantasy V,1992-12-06,"Microsoft Windows, PlayStation 2, PlayStation Portable, Super Nintendo Entertainment System, iOS",role-playing video game
Final Fantasy VI,1994-04-02,"Microsoft Windows, PlayStation 2, PlayStation Portable, Super Nintendo Entertainment System, Virtual Console, iOS","post-apocalyptic video game, role-playing video game, turn-based Japanese role-playing game"
Final Fantasy VII,2015-12-05,"Microsoft Windows, PlayStation 2, iOS","cyberpunk video game, role-playing video game"
Final Fantasy VIII,1999-02-11,"Microsoft Windows, PlayStation 2, iOS","role-playing video game, video game with LGBT character"
Final Fantasy X,2001-07-19,"PlayStation 3, PlayStation 4, PlayStation Vita",role-playing video game
Final Fantasy XII,2006-03-16,"Microsoft Windows, PlayStation 4",role-playing video game
Final Fantasy XII: Revenant Wings,2007-04-26,Nintendo DS,tactical role-playing game
Final Fantasy XIII,2009-12-17,"Microsoft Windows, PlayStation 3, Xbox One, iOS","role-playing video game, science fiction video game"
Final Fantasy XIII-2,2011-12-15,"Microsoft Windows, PlayStation 3, Xbox One, iOS",role-playing video game
Final Fantasy XIV,2010-09-30,"Microsoft Windows, PlayStation 3, Xbox Series X and Series S, macOS",massively multiplayer online role-playing game
Final Fantasy XV,2016-11-29,Microsoft Windows,action role-playing game
Final Fight,1992-12-10,"Amstrad CPC, Atari ST, Commodore 64, PlayStation, PlayStation Portable, Super Nintendo Entertainment System, ZX Spectrum, arcade video game, iOS","beat 'em up, video game with LGBT character"
Final Fight 2,1993-01-01,Super Nintendo Entertainment System,beat 'em up
Final Fight Revenge,2000-03-30,arcade video game,"fighting game, video game with LGBT character"
FinnWars,2004-02-07,"Microsoft Windows, macOS",first-person shooter
Fire Blade,2002-06-28,"Nintendo GameCube, PlayStation 4","action-adventure game, flight simulation video game"
Fire Emblem: New Mystery of the Emblem,2010-07-15,Nintendo DS,tactical role-playing game
Fire Emblem: Shadow Dragon and the Blade of Light,1990-04-20,"Nintendo 3DS, Nintendo Entertainment System, Wii, Wii U",tactical role-playing game
Fire Emblem: The Blazing Blade,2003-04-25,Wii U,tactical role-playing game
Fire Emblem: The Sacred Stones,2004-10-07,"Nintendo 3DS, Wii U",tactical role-playing game
Fire Shark,1989-11-01,"Microsoft Windows, PlayStation, arcade video game, macOS",vertically scrolling shooter
Fire and Ice,1992-01-01,"Amiga 1200, Amiga CD32, Atari ST, DOS",platformer
Firefall,2011-01-01,Microsoft Windows,"first-person shooter, third-person shooter"
First Kiss Story,1998-04-24,PC-FX,visual novel
First Samurai,1993-07-02,"Commodore 64, DOS, Microsoft Windows, Super Nintendo Entertainment System, iOS","action game, action-adventure game, adventure video game, platformer"
Fish Fillets NG,1997-04-07,"Microsoft Windows, macOS",puzzle video game
FishVille,,Facebook,simulation video game
Fist of the North Star,2007-03-29,PlayStation 4,"fighting game, post-apocalyptic video game"
Flashback,1992-01-01,"3DO, Acorn Archimedes, Classic Mac OS, DOS, Mac operating system, Microsoft Windows, Philips CD-i, PlayStation, Super Nintendo Entertainment System, iOS, macOS","action game, cinematic platformer, cyberpunk video game, puzzle video game, science fiction video game"
FlatOut 2,2006-06-30,"Microsoft Windows, PlayStation 4, PlayStation Portable, macOS",racing video game
FlatOut: Ultimate Carnage,2007-07-22,"Microsoft Windows, PlayStation Portable, Xbox One","racing video game, vehicular combat game"
Flicky,1991-01-01,"FM-7, MSX, Microsoft Windows, NEC PC-8800 series, PC-8000 series, PlayStation, SG-1000, Sharp MZ-2000, Sharp MZ-2500, Sharp X1, arcade video game, macOS",action game
Flight Control,2009-03-05,"Microsoft Windows, PlayStation 3, Windows Phone, iOS, macOS",time management video game
Flight Unlimited,1995-06-07,"Classic Mac OS, DOS, Microsoft Windows",vehicle simulation game
Flight of the Amazon Queen,1995-01-01,"DOS, iOS",adventure video game
Flintstones Jetsons: Timewarp,1994-01-01,Philips CD-i,Unknown
Flip & Flop,1983-01-01,"Atari 8-bit family, Commodore 64",platformer
Flood,1990-01-01,Atari ST,platformer
Floor 13,1992-01-01,DOS,"dystopian fiction, film noir, gallows humor, propaganda, satirical video game, strategy video game"
Fly!,1999-01-01,"Classic Mac OS, Microsoft Windows, macOS",Unknown
Flyff,2005-12-25,Microsoft Windows,fantasy video game
Flying Shark,1987-03-06,"Amstrad CPC, Atari ST, Commodore 64, DOS, FM Towns, Microsoft Windows, Nintendo Entertainment System, Sharp X68000, ZX Spectrum, arcade video game, macOS",vertically scrolling shooter
Foldit,2008-01-01,"Microsoft Windows, macOS",puzzle video game
FooBillard,2002-01-01,"Microsoft Windows, macOS",sports video game
Football Glory,1994-01-01,DOS,association football video game
Football Manager 2011,2010-11-05,"Microsoft Windows, PlayStation Portable, iOS, macOS","association football management game, association football video game"
Football Superstars,2008-12-31,Microsoft Windows,association football video game
For King and Country,2006-09-01,web browser,Unknown
Forbidden Forest,1983-01-01,Commodore 64,action game
Forbidden Quest,1983-01-01,"Apple II series, Atari ST, Classic Mac OS, PC booter",Unknown
Forge of Empires,2012-04-17,"Microsoft Windows, iOS, personal computer, web browser","online game, strategy video game"
Forgotten Realms: Unlimited Adventures,1993-03-17,"Classic Mac OS, DOS, Microsoft Windows","game creation system, role-playing video game"
Formula One 04,2004-09-22,PlayStation 4,racing video game
Formula One 05,2005-09-22,PlayStation 4,racing video game
Formula One 99,1999-10-20,"Microsoft Windows, PlayStation 2",racing video game
Formula One Championship Edition,2006-12-28,PlayStation 3,sim racing
Formula One Grand Prix,1992-01-01,"Atari ST, DOS, Microsoft Windows",sim racing
Forsaken,1998-04-30,"Microsoft Windows, Nintendo 64, PlayStation 2",first-person shooter
Fort Apocalypse,1982-01-01,"Atari 8-bit family, Commodore 64",action game
Fortune Arterial,2008-01-25,Microsoft Windows,"eroge, harem, visual novel"
Forza Motorsport,2005-05-03,Unknown,sim racing
Forza Motorsport 2,2007-05-24,Xbox One,sim racing
Forza Motorsport 3,2009-10-22,Xbox One,sim racing
Forza Motorsport 4,2011-10-11,Xbox One,sim racing
Fracture,2008-10-07,"PlayStation 3, Xbox One","science fiction video game, third-person shooter"
Fragile Allegiance,1997-03-31,"DOS, Microsoft Windows","4X, real-time strategy, science fiction video game"
Frak!,1984-01-01,"Acorn Electron, Commodore 64",platformer
Frank Herbert's Dune,2001-11-01,"Microsoft Windows, PlayStation 4",action-adventure game
Freddy Pharkas: Frontier Pharmacist,1993-01-01,"Classic Mac OS, DOS, Microsoft Windows, Windows 3.x",adventure video game
Free Realms,2009-04-28,"Microsoft Windows, PlayStation 3, macOS",massively multiplayer online game
FreeCell,,Unknown,Unknown
FreeCol,2009-05-12,"Java virtual machine, Microsoft Windows, macOS",turn-based strategy video game
FreeOrion,2004-03-06,"Microsoft Windows, macOS",4X
FreeSpace 2,1999-09-30,Microsoft Windows,"science fiction video game, space flight simulation game"
Freedom Fighters,2003-09-26,"Microsoft Windows, Nintendo GameCube, PlayStation 4",third-person shooter
Freedom Force vs the 3rd Reich,2005-03-08,Microsoft Windows,"real-time tactics, tactical role-playing game"
FreedroidRPG,2016-04-02,"Microsoft Windows, macOS",role-playing video game
Freekick,,web browser,Unknown
Freelancer,2003-03-04,"Microsoft Windows, personal computer","science fiction video game, space flight simulation game, space trading and combat game"
Freewar,2003-11-10,web browser,role-playing video game
Freeze!,2012-11-01,iOS,puzzle video game
Frets on Fire,2006-08-03,"Microsoft Windows, macOS","music video game, rhythm game"
Frisky Tom,1981-01-01,arcade video game,action game
Frogger,1981-01-01,"Atari 2600, Atari 5200, Classic Mac OS, ColecoVision, Commodore 64, Commodore VIC-20, Game Boy, Game Boy Color, MSX, Microsoft Windows, Nintendo DS, PlayStation, PlayStation 2, PlayStation 3, Super Nintendo Entertainment System, TRS-80 Model I, Windows Phone, ZX Spectrum, iOS",action game
Frogger's Adventures: The Rescue,2003-10-21,"Microsoft Windows, Nintendo GameCube, PlayStation 4",action-adventure game
Frogger: Helmet Chaos,2005-09-29,Nintendo DS,"action-adventure game, platformer"
